,text,sentiment
49,which case -PRON- get a new one last week and -PRON- be not thrill at all with mine,negative
50,then -PRON- should check out   and connect with other tweeple who hate twitter,neutral
51,also bore at school -PRON- -PRON- third freelesson freistunde,neutral
52,hm both of -PRON- -PRON- guess,neutral
53,-PRON- be u have dissappointe -PRON- that past few day,negative
54,romance zero be funny,positive
55,-PRON- d rather do the early runbut -PRON- be a morning runner,neutral
56,bah a coworker run into work late and -PRON- bag smack into -PRON- knee   -PRON- really hurt now,negative
57,will be back later,neutral
58,aw Torn ace of heart   Hunchback,negative
59,what fun be -PRON- speak of,neutral
60,i lose all -PRON- friend -PRON- be alone and sleepyi wanna go home,negative
61,haha yes,neutral
62,-PRON- give in to easily,negative
63,what well way to spoil mum than to let -PRON- kick back and relax over a nice meal and a bottle of -PRON- favorite wine -PRON- wine be a red,positive
64,mannnn   get an iphone -PRON- be jealous,negative
65,be at a photoshoot,neutral
66,-PRON- s awesome have -PRON- work with -PRON- before -PRON- s a good friend,positive
67,Yay play a show tonight Boo -PRON- go to soggy and -PRON- be at work right before play,neutral
68,Chilliin,positive
69,if -PRON- know such agent do let -PRON- know,neutral
70,-PRON- still smell of smoke   kitchenfire,neutral
71,a celticslaker rematch sound well do not -PRON- think lol,positive
72,anyone have an extra Keane ticket -PRON- promise to buy -PRON- a drink and take rad pic for -PRON- FB   Blog   Flickr etc,neutral
73,-PRON- can ride one -PRON- can catch one but -PRON- not summer til -PRON- pop open one,neutral
74,-PRON- be good so gorjuz yea i kno i ask -PRON- yesterday when -PRON- be at tha hospital if -PRON- talk to u and -PRON- say no,neutral
75,ok   -PRON- be out of here for now just pop in to say hi and check on thing Ill probably head to the guttah later on tonight,neutral
76,wow i am REALLY missin the FAMiLY TODAY BADDD,negative
77,-PRON- source say no,neutral
78,-PRON- be sooo tired,negative
79,hey -PRON- change -PRON- twitt account and -PRON- do not even tell -PRON-,neutral
80,thank YYYYYYYYYOOOOOOOOOOUUUUU,positive
81,lucky kidi so wanna see loserville   pity -PRON- be in oz,positive
82,fall asleep wait for -PRON- ride,neutral
83,sick with a flu like thing,negative
84,still no reply from   about -PRON- SimFinger problem   so no iRape parody video until -PRON- get a response sorry guy,negative
85,Happy Star Wars day everyone and enjoy the holiday UK,positive
86,mile from -PRON-    -PRON- be in Essex so give -PRON- plenty of warning so -PRON- can arrive in time to get at least one of those free beer,neutral
87,-PRON- snoring be so annoying n -PRON- keep -PRON- from sleep like right now lol but -PRON- honestly wud miss -PRON- if -PRON- eva leave   -PRON- love -PRON-,neutral
88,i miss -PRON- bby       wish -PRON- be go tomorrow to make -PRON- do good,negative
89,well what -PRON- be work on be not quite ready to post about publicly still beta testing but -PRON- a cool new script -PRON- code,positive
90,SWEEEEET   San Fran be awesome   love -PRON- there,positive
91,mounce yes and -PRON- last way past -PRON- bedtime,neutral
92,hi   how be -PRON- do    just join twitter,neutral
93,wait for sleep pill to kick in go to be so tired at work tomorrow,negative
94,eat ice cream and then get ready for graduation,neutral
95,Happy Mothers day to all -PRON- mums out there,positive
96,CASEYS GONE but why so -PRON- piddle a little on the carpet -PRON- s prolly freak cause -PRON- new Can -PRON- get -PRON- back,negative
97,hemp cloth be marvelous but unfortunately no,negative
98,go to read a story bout adam lambert online then bed nighty night,neutral
99,-PRON- see that in none    the baddie the good,positive
100,and -PRON- be on the beach pretty,positive
101,certainly not cheer than huh,neutral
102,week post myhorrible traumatic jumping cholla accidentcholla next dirty trickpiece be start to emerge from -PRON- hand Ouch,negative
103,i realy want to go out cause -PRON- so nice but everybodys busy,negative
104,awesome   -PRON- be down in Ocean Beach if -PRON- know where that be by the way yourbiggestfan -PRON- be a real big fan of -PRON-,positive
105,at least -PRON- get to watch over time   Lets go pen,neutral
106,cool i wear black most of the time when i go out,neutral
107,haha -PRON- do not know how to work blip apart from the obvious thank for reblippe -PRON- song   have a nice day,positive
108,have a safe trip joshy pooyoull knock -PRON- dead at -PRON- speech,positive
109,woof -PRON- wish -PRON- be allow to go,positive
110,if u have a friendster add -PRON-         -PRON- email adress       add -PRON-           add -PRON- leave some comment,neutral
111,have ticket,neutral
112,thank -PRON- Afrin Nasal Spray also -PRON- get a giant teacup tonight,positive
113,ACSM -PRON- unfathomable   i think the other one   and the   be one that should be keep to the comfort of -PRON- bedroom yes,neutral
114,Aww -PRON- love -PRON- daddy -PRON- work   day a week almost all day and still try to go to SF with all of -PRON-,positive
115,so many test todayyy   -PRON- do not feel confident about anyy,negative
116,graduation be do   -PRON- be a little sad anyone want to hang out,negative
117,hahaa -PRON- awesomee,positive
118,holy smokes star trek be freak awesomeeeee,positive
119,-PRON- hate Fallout   -PRON- keep make -PRON- jump -PRON- be also low on health money ammo and food   do not worry Ill get through -PRON-,neutral
120,-PRON- have -PRON- on -PRON- itune but then -PRON- lose all -PRON- song,neutral
121,what s with the gloomy weather the sun must be too tired to come out and play   heading to victoria gardens for some impulse buy haha,neutral
122,not look forward to next week Maths Geography English and french exam total   hour,negative
123,poor -PRON-   get outside and sleep in the garden the sun will do -PRON- good but do not forget suncream,negative
124,not well,negative
125,not a prob hun,positive
126,at dad watch some mtv and be go on   in a minutee,neutral
127,absolutely,neutral
128,what s the matter chickadee,neutral
129,hey mia   totally adore -PRON- music   when will -PRON- cd be out,positive
130,shopping cleaning BMFing Webcam chat with nephew Nothing spesh but a good bank holiday Monday nonetheless,positive
131,o -PRON- need to ask -PRON- something Lmao -PRON- love -PRON- too,positive
132,those splinter look very painfulbut -PRON- be be very heroic saving mr Pickle,negative
133,why be -PRON- sad,negative
134,nice to see -PRON- tweet   -PRON- Sunday   May and be celebrate Mothers Day here today so be nice to yer Mom,positive
135,decide   trans frm relax   natural hair but i wish -PRON- whole head look like -PRON- root   Age of the instant gratification,positive
136,Namaskar   Namaste r both the same Marathi people say Namaskar -PRON- a marathi word should i   naaaah,neutral
137,congrat   -PRON- cuss like that in a matter of minute but do not know until now there be a reward for -PRON-,neutral
138,humous and dorito oh yes,neutral
139,miss all the awesome weather because -PRON- be in a movie,negative
140,today be go to be a normal day for -PRON- hope -PRON- have a group of pilot from a large airline come in last night so -PRON- be too much drink,neutral
141,these kid be terrible if -PRON- be in Good Evans -PRON- d call Childline,negative
142,Unfortunatley AerLingus no longer fly to Copenhagen so be have to fly Ryanair to Billund and drive up to Copenhagen one of the day,negative
143,what s sad be that -PRON- actually have to google that term that suck tho,negative
144,hate fighting,negative
145,-PRON- watch that too -PRON- do not want -PRON- to win but -PRON- put up a good fightlol,neutral
146,Carwarmed Sprite taste like sore throat,negative
147,just come   in cross country and beat dumbo,neutral
148,candle wax be very enjoyable,positive
149,-PRON- s unassuming and unpretentious -PRON- s just as -PRON- suppose that s why -PRON- s so endearingbecause -PRON- can relate to -PRON-,positive
150,tomorrow valerias lunch go to get -PRON- hair do but -PRON- be arrave late    get -PRON- cousin babtizm or whatever -PRON- spell -PRON-,neutral
151,goooooddd morning tweet   week three of -PRON- workout do i mention i get -PRON- new glass yesterday,positive
152,-PRON- too -PRON- hate -PRON- computer so much,negative
153,fine go to do -PRON- big walk today   or so mile,positive
154,-PRON- want RED CRUISERS   i do not like the other one LMFAO,negative
155,Mmmmmmmm   -PRON- in the morning,neutral
156,-PRON- neither,neutral
157,have about   hour work to do on a Sunday Boo -PRON- will find time for a two hour lunchbreak though yeah,neutral
158,Bugger forgot -PRON- still have washing in -PRON- machine,negative
159,Laurie send love blessing   heal thought to -PRON-   family   peace,positive
160,-PRON- back hurtsreally bad,negative
161,ah yes -PRON- know that feeling,neutral
162,night of the cooker with -PRON- dad,neutral
163,-PRON- modem have be offline for a week now God bless the   network Tim just leave Again May schedule have be brutal,negative
164,nope -PRON- be in Coquitlam,neutral
165,have parent teacher thing yesterday so boring go to skl on saturday   lol,negative
166,lichfield tweetup sound like fun   hope to see -PRON- and everyone else there,positive
167,big booming thunder storm almost here   maybe -PRON- can all go home early   ah probably not,neutral
168,few bevvie   in twngreat on a day off,positive
169,first night in myer just not the same wout lydia   but -PRON- be actually excited about this summer,positive
170,good morning,positive
171,-PRON- the good show ever,positive
172,url in previous post to timer job should be   -PRON- d remove space which mess up URL   es,negative
173,i think iv hurt -PRON- tooth   and eilish and cassie be have a draw competiton to draw cookie and pineapple haha L,neutral
174,-PRON- want to know when the audition be Mander Text orreply please,neutral
175,or even nooooo not the SECRET NAMEREBECCA please,negative
176,-PRON- miss -PRON- neice   can not wait to see -PRON- bad n grown   Lol,negative
177,i need to get -PRON- computer fix,neutral
178,really hope -PRON- car illness be not terminal,negative
179,all the cool people -PRON- want to find for follow today be English and -PRON- guess the English do not tweet,neutral
180,no siri woulda put honeybut i do not have any,neutral
181,who watch Xmen origin wolverine i totally love -PRON- haha,positive
182,-PRON- vote do u have a personal myspace i keep talk to fake    i   -PRON- u help -PRON- thru the hrd time of -PRON- life   x,positive
183,-PRON- be sad that -PRON- miss -PRON- guy last night,negative
184,finally get a call for marriage counseling   day late,neutral
185,ok then,neutral
186,why baby,neutral
187,today be the last day of high school for -PRON- and i end up go home sick   stupid dead rat,negative
188,be have an impromptu pool party except -PRON- do not know how to swim so -PRON- can not get in,neutral
189,lose -PRON- tooth   whilst i be eat gumoww,negative
190,happy   year,positive
191,oh -PRON- HELLA forget to say -PRON- official good morning   like to hear -PRON- here -PRON- go Goooooooooooood Morrrrrrrrning Twitterville Lol,positive
192,phew   Will make a note in case anyone else run into the same issueï¿½,neutral
193,what about ME    -PRON- vote every day for you,negative
194,-PRON- be starve this diet be kill -PRON- but -PRON- can not eat after,negative
195,i talk to -PRON-,neutral
196,-PRON- be soo boredim deffo miss -PRON- music channel,negative
197,nite nite bday girl   have fun at concert,positive
198,have nicotine replacement patch on for   hour so far so good but -PRON- do sleep for most of those   hour get a bit twitchy now,neutral
199,Sanderson what s with Twatter lately   either -PRON- can not get on or the reply do not turn up,neutral
200,should be sleep   lose -PRON- voice a couple day ago,negative
201,hate when -PRON- PARKED car get hit,negative
202,-PRON- have hear this fall -PRON- be wait too,neutral
203,more nightmare   huggle,neutral
204,-PRON- am SUCH a creeper   -PRON- feel disappointed because of -PRON-   -PRON- cyberstalking skill    the internet   no more privacy,negative
205,go to bed -PRON- late and -PRON- have headache,negative
206,happy mothers day to all mom out there,positive
207,grab coffee from   then make mom breakfast,neutral
208,-PRON- be think that -PRON- be go to have fun tonightand maybe some change be come,positive
209,thank before the major chop,neutral
210,haha -PRON- know -PRON- can not handle the fame   and thank -PRON-,positive
211,just get up and update -PRON- ipod,neutral
212,yes sober HAHAHA tanghale tapat dude haha WILD i do not knowwww   plan plan   before -PRON- go to US,positive
213,-PRON- never miss ICarly   -PRON- son have a huge crush on Miranda,positive
214,see James carville in the store today -PRON- head be really that bald,neutral
215,yellow for,neutral
216,which mean -PRON- be just go to have to come back to vancouver and have -PRON- -PRON- way hahah,neutral
217,feel smooth like chrome,positive
218,ew traffic,negative
219,download song while try to sneak a lil homework in too which should be -PRON- main priority not song lol,neutral
220,-PRON- not alonei need coffee too,neutral
221,sound like -PRON-,neutral
222,bad day   the day -PRON- realize what mess -PRON- have put -PRON- through will be one of the happy day of -PRON- life,neutral
223,walk to class -PRON- hate not have a bikeespecially mine,negative
224,nesmith,neutral
225,fail inspection do -PRON- know -PRON- can pass wooven but not woantitip bracket which be only sell weave this be bad than taxis,negative
226,jonas brother   live to party                 -PRON- rock so hard      -PRON- love the song,positive
227,happy mothers day to all the mother in the world,positive
228,through the    Google Wave demo that look a lot of fun would love to test -PRON- though,positive
229,Sleepy Tabz be head to bed   Fun night listen through the next episode of Jossd,positive
230,the exception for a short dude Larenz fineass Tate yum,neutral
231,screw the review -PRON- think Wolverine be awesome but not enough Dominic Monaghan for -PRON- liking,positive
232,if -PRON- follow -PRON- recently PLEASE do not be offend that -PRON- have not follow back -PRON- hit -PRON- limit    hopefully -PRON- will be free soon,positive
233,yes i work   to,neutral
234,hmmm maybe that s what -PRON- mean -PRON- elude to something brand new but -PRON- know how the media be,neutral
235,do at the spa    now meet vic for some late lunch,neutral
236,Happy monday   up and about go to tavare today Hope everyone have a bless day,positive
237,always have want to go to Oz,neutral
238,thx,neutral
239,cool luv -PRON-,positive
240,that s why -PRON- need to be thereto represent the blackberry,positive
241,okay so -PRON- be dedicate -PRON-   tweet to the fact that -PRON- be go to the Apple store because there be a HUGE crack on the glass screen,neutral
242,if only -PRON- could ever actually be allow to stay here and do that,neutral
243,let -PRON- know how that turn out,neutral
244,be that sass -PRON- detect   as long as -PRON- be not back sass Haha,neutral
245,yeah -PRON- be think about that ahaha,positive
246,Sports Bar Shatranjanpoli Rest Ph   all Sports Bar Andheri W   do not know whether that help Google ki jai ho,neutral
247,-PRON- be not sleep at all until   accept -PRON- appology,negative
248,Wolverine be BOSS seriously and WillIAm be in -PRON- what the,negative
249,-PRON- live for pain bring -PRON- on,neutral
250,okay -PRON- be out for a while   back later,neutral
251,powerblog what be this powerblog challenge -PRON- keep talk about   -PRON- be a newbie follower,neutral
252,almost die Laptop screen be set to   brightness after -PRON- reinstall Windows Vista get a headache now   insanedefault,positive
253,wait for tish to get off Got to drive -PRON- mom CRV to pick -PRON- up all -PRON- -PRON- and duckie first time,neutral
254,try to decide on a movie with the friend not go to well lol p   no bible study   which mean day cake   buy -PRON- own,negative
255,go to shower because i do not want to smell at school tomorrow,neutral
256,sigh -PRON- know -PRON- be,neutral
257,discover cause of a bug in the new NetPLAYER   build Publishing bug fix now hopefully new beta by tomorrow,positive
258,here be   free twitter tool will get -PRON- follower,neutral
259,just get home from work and be chug down a big bottle of apple juice,neutral
260,yes -PRON- do please do not go if -PRON- die -PRON- will cry which normally lead to small animal get harm,negative
261,writing report card   soooo tired but what an amazing day check -PRON- out on fb soon,positive
262,-PRON- be only once for -PRON- big brotherand -PRON- be do now,neutral
263,good news finally finish -PRON- easactive workout that have be pause for   hour bad news -PRON- resistance band be tear,neutral
264,well good morning all what a wonderful day in the neighborhood   thank for all those that be now follow another   this morning,positive
265,FTSK and Mercy Mercedes be amazing tonight as always,positive
266,hope -PRON- be ok,positive
267,can not school just be do already -PRON- hurt too much see -PRON- every day,positive
268,-PRON- wait listen to wind blow through the tumbleweed be none of -PRON- old enough to know what to do when someone say Crackerack,neutral
269,Hell yeah,neutral
270,him shirt at dinner do -PRON- need to ask   do -PRON- actually have Ville on -PRON-,neutral
271,i know,neutral
272,huh what the   Smelly Noooo -PRON- love alex Vixon,neutral
273,go to a party last night Dindin and -PRON- show up in matching outfit   great mind think alike   anyway happy birthday eat lara,positive
274,happy bday just wake up on this side of Earth so wish be bit late,positive
275,thank -PRON- for teach -PRON- value and to be a well person each day   -PRON- love so much youre the best MUM in the world,positive
276,happy mothers day,positive
277,laugh -PRON- be glad that -PRON- have self confidence   -PRON- a wonderful trait to have   Ill applaud extra loud for -PRON- okay,positive
278,thanks,positive
279,twitter after   day,neutral
280,get ready for week   -PRON- too nice today to be stick inside work,positive
281,-PRON- be tre depressed,negative
282,feel like   behave like -PRON- son eat to compensate pig out on homeroasted sugar almond painful tum throw up still feel sick,negative
283,Happy Mothers Day people i love -PRON- mom a lot still,positive
284,-PRON- be sorry to hear that,negative
285,that s awesome dude yay for surprise celebrity   -PRON- get to meet -PRON- a few year ago -PRON- be soooo friendly,positive
286,-PRON- make -PRON- happy to hear a girl talk or tweet about the nba but could -PRON- give -PRON- nugget some love,positive
287,be get the hang of Twitter,neutral
288,-PRON- know -PRON- neck be jack up when -PRON- be force to pay for parking bc -PRON- can not turn -PRON- head to parallel park in the free space,negative
289,-PRON- want -PRON- back now,neutral
290,go to miss -PRON- roomie   -PRON- will no longer be roomie start tomorrow,negative
291,bathe with two little angel Keyla and Janice,neutral
292,Yep finish chock full of spelling and grammatical error but -PRON- be clean -PRON- up tomorrow and pop -PRON- up   hehe,negative
293,HAHAHHA lol true that i always remember -PRON- BD but i can never remember what date or even day -PRON- be,neutral
294,family be herehange with -PRON-,neutral
295,watch Ellen Love -PRON- then do the dish   and tan -PRON- gorgeous out,positive
296,what s go on hun   -PRON- be worried about -PRON-,negative
297,-PRON- be not bannishe but -PRON- be at work till,negative
298,morning if -PRON- get to see -PRON- Ill let -PRON- know right now -PRON- be go to go see Wolverine,neutral
299,red top tabloid build -PRON- up knock -PRON- down,neutral
300,tonight in party w -PRON- girl minus vita,positive
301,why not now -PRON- make -PRON- sad -PRON- think -PRON- d be jump for joy,neutral
302,simple -PRON- a,neutral
303,the pic -PRON- just uploaded be the baby pic of -PRON- cat Missy be now an adult and a pretty little kitty but Batty be in kitten heaven now,neutral
304,-PRON- see the play of -PRON- here -PRON- be amazing,positive
305,i be glad to break -PRON- twitter virginity with -PRON- two,positive
306,dinner with the fam -PRON- have miss -PRON-,negative
307,live that s what -PRON- want More the well bind to be a few bad egg though but -PRON- will soon learn,neutral
308,Hell yeah Kellynn get a Twitter finally,neutral
309,-PRON- know    -PRON- be worth a shot though,positive
310,just open a facebook account -PRON- be a little confused -PRON- do not really get -PRON- Twitter seem much well,positive
311,ship -PRON- be stick,negative
312,DUSTBIN BABY on AT   can not wait   x,positive
313,not go to dwell on -PRON- -PRON- happen -PRON- pass just a shame as -PRON- be so supportive such be life   x,negative
315,-PRON- look like the office tv do get MLB Network and -PRON- look like MLBN will not be televise the DETBAL game today   wieter,neutral
316,home empty hand   no comic_strip find today   -PRON- shall now indulge in -PRON- cupcake from Magnolia Bakery,neutral
317,lay in bed til workkk oh the life definitely pinch a nerve,negative
318,today be a busy day exhaust,negative
319,-PRON- be go to go on Sunday but now -PRON- have get too much go on that weekend,neutral
320,sorry to hear ur flight get cancel   that blow,negative
321,ohh -PRON- tooth be hurts ohh   -PRON- be sad -PRON- very hurt,negative
322,before -PRON- get too distracted -PRON- d like to thank -PRON- new follower for take the trouble to follow -PRON- and to -PRON- other feelin the love,positive
323,u think u have bill HaIi just finish pay mine that s y -PRON- be break,negative
324,not sure -PRON- do not say -PRON- be   big -PRON- jst see the pic of u on ur last bday -PRON- look so pretty -PRON- miss -PRON-,neutral
325,sore throat plan the TET outing to Marwell thoughgood time,neutral
326,mcfly gig last nightt omg -PRON- be amazin do not sit down through the whole thing   mcfly do -PRON- see -PRON- and ma good mate -PRON- be in tutus,positive
327,day without sleep and now a migraine -PRON- think life   be mean to be relax,negative
328,there,neutral
329,suck,negative
330,when s the sway sway winner announce,neutral
331,K will check -PRON- out,neutral
332,do pretty well up and wide awake,positive
333,i want to wake up early and get a coffee tomorrow today    -PRON- go to be a busyy day but have to keep write booo whoo,neutral
334,-PRON- miss Daddy and Mommy,negative
335,-PRON- dog be officially depressed that -PRON- brother dog be go -PRON- do not want to go outside and when -PRON- do -PRON- play halfheartedly,negative
336,-PRON- just realize that -PRON- can not forward text msgs with -PRON- iPhone,neutral
337,-PRON- frist post Off to find a new car for -PRON- parent exciting,positive
338,Argh noo Missed the Killers on Wossy   that suck miss out on Brandon total failure anyone know if -PRON- repeat Must investigate,negative
339,seriously bore without anyone to talk to but not tired enough for sleep,negative
340,-PRON- be lose please help -PRON- find a good home,negative
341,-PRON- a Peter   Gordon morning    and -PRON- go to piece and -PRON- wanna hide   go to piece and -PRON- almost die   ever,neutral
342,ok so -PRON- have now get a bit of a bad back after lift all drum hardware into -PRON- car    downer,negative
343,LMAO Smh   that one throw -PRON- off,neutral
344,oh nice go,positive
345,be get ready for work work all weekend,neutral
346,go to celebrate Mothers Day with the family but go to start the partying tonite,positive
347,i agree with -PRON-,positive
348,-PRON- only do computer be hopeless at everything else,negative
349,degree gross sky and thunderstormsperfect match for -PRON- mood   lol,positive
350,aww thank,positive
351,sorry RB be on   for -PRON-,negative
352,-PRON- see amazing heeel but -PRON- be too big,neutral
353,-PRON- just stick -PRON- finger down -PRON- throat and there be a bunch of bump on -PRON- tongue   throat,negative
354,dang last url go down,negative
355,ohoh i miss all ur tweet   -PRON- be go to have to stay awake all night to see the announcement now   time difference,negative
356,damnit all that suck   -PRON- be one of the one -PRON- think -PRON- d drag back lol,negative
357,-PRON- boss -PRON- s move to NYC,neutral
358,this be sooo crazy i have fever,negative
359,be spend -PRON- Saturday morning take note for a research essay because some stupid   recall the book -PRON- be use not fair,negative
360,-PRON- think i need some new friend,neutral
361,look forward to -PRON- gig in Ireland   see ya there,neutral
362,please Review Sunehre Ad placement,positive
363,aww   -PRON- loooove -PRON-,positive
364,be hungry twitter   i want food,neutral
365,awesome lucky -PRON-,positive
366,yea i should know but tell -PRON- everything   ps send -PRON- direct message tell    haha,neutral
367,haha -PRON- be jewish i love that one,positive
368,have a great time out in the beer garden wit the boyos   -PRON- think the sun get to -PRON- a bit though feel a bit ill,neutral
369,lm on   day too matt no fun this weekend,negative
370,u really do not think so   maybe ur rightlol btw what phone u use think u tell -PRON-   may have an app for u,neutral
371,-PRON- feel -PRON- pain Mine be the same way,negative
372,come home in two day,neutral
373,sadly no -PRON- do not come with one,negative
374,can not wait to see -PRON- boy tomorrow,positive
375,ehhh no just a check up -PRON- have a dentist app next week though get -PRON- molar pulledroot canal,neutral
376,aww -PRON- miss drive down elmwood,negative
377,Omg Wango Tango be   awsome -PRON- love -PRON- baby for take -PRON-,positive
378,Version   of -PRON- live interactive TransSiberian ticket planner be launch    -PRON- very cool,positive
379,-PRON- really wish -PRON- could go,positive
380,yeah real hard but -PRON- know -PRON- will get by with -PRON- smile,neutral
381,-PRON- be   in december that s not good at all next big birthday be    after   -PRON- fly by for sure,negative
382,this have make -PRON- night   way too funny,positive
383,woo CAVS   Happy Mothers Day,positive
384,-PRON- make that same face when -PRON- get home and -PRON- mom be watch soap,neutral
385,-PRON- have to go to work now,neutral
386,-PRON- can not believe -PRON- go and get boba without -PRON-,neutral
387,and to -PRON- too how be -PRON- today,neutral
388,thank for the warm welcome -PRON- do not make plan    because -PRON- arrival time be so up in the air,positive
389,day and count,neutral
390,sorry   friend   -PRON- be swamp with deadline right now and -PRON- have family visit to boot no charade for -PRON-,negative
391,BRAINFREEZE,neutral
392,just discover a shortcoming of Gravity when -PRON- use Twitpic integrate -PRON- do not subtract the pic URL from the   character limit,neutral
393,-PRON- sunburn be peel,negative
394,perky purple nail polish be not as perky when -PRON- chip,neutral
395,before -PRON- put a CAMERA in the smoker pit   i can no long vandalize that door without be catch,neutral
396,lay alone since Mooks soo comfy in -PRON- fn play pen -PRON- think -PRON- be ill at first now -PRON- do not have no one to cuddle with,negative
397,-PRON- hate the dentist,negative
398,nothing aim at -PRON- just join insorry,negative
399,-PRON- be take a twitter break Cell be die,negative
400,qood morninq,neutral
401,write -PRON- english original writing storyyyyy and listen to a little respect by erasure   aaaaaah,neutral
402,need more follower,neutral
403,-PRON- wish -PRON- could get -PRON- nail do   stupid job,negative
404,the little wormy from labyrinth sadly pass away today but -PRON- ok as -PRON- s still around in a happy ghost form aww,neutral
405,the no pant idea could be the new attempt worldwide to attract business back to the airline,neutral
406,have a good one,positive
407,yep infact -PRON- be popular miss india   talented film actress   and lot more,positive
408,dosent want to go to work tomorrow,negative
409,Daniel have win DSDS -PRON- voice be great,positive
410,o i wish the birthday massacre would come to australia   i think -PRON- say -PRON- be think about -PRON- tho,neutral
411,be hope to go to Red Lobster this weekend,neutral
412,xATL u mean jack barakat wow so have u ever go to -PRON- house Hehe i mean ur ssoo lucky to have the address,positive
413,-PRON- sure do hope -PRON- become   this afternoon,positive
414,-PRON- mean that -PRON- be now FAMOUS Congrats,positive
415,-PRON- phone pass away yesterday -PRON- jump off the table   search for a new phone,negative
416,-PRON- have such fantastic friend include several one meet through here thank for be in -PRON- life   -PRON- be such amazing people,positive
417,tamlyn wish -PRON- be as cool as -PRON- sock draw,positive
418,so no rice or crusty bread with the chili   aawww,neutral
419,-PRON- be of like mind this evening   -PRON- dear,neutral
420,come and save -PRON- from -PRON- packing please,neutral
421,yes -PRON- love tea if that make -PRON- typically English then so be -PRON-,positive
422,a mouth for sure,positive
423,-PRON- finally just have   hour of history at   pm but -PRON- go to -PRON- highschool at   be to make some homework with a friend,neutral
424,pancake with lemon and sugar thank,positive
425,si no bueno   -PRON- guess -PRON- just do not entertain -PRON-,negative
426,-PRON- be so hunrgy right now and these heel kill -PRON- -PRON- can hardly walk in -PRON-,negative
427,both electronic key stop work there be no keyhole can not get in -PRON- car so much for technology,negative
428,Yay three follower good to know more than one person in this big wide world like fishie,positive
429,-PRON- name be Tony not hey    poor tony,negative
430,goodmorning,positive
431,take a shift tomorrow     -PRON- do not really feel like work right now,negative
432,-PRON- love -PRON- too   happy motherï¿½s day to -PRON- mom   John Taylor    much love to -PRON- too,positive
