,text,sentiment,Subjectivity,Polarity
44,-PRON- love to but -PRON- be only available from    and where dear Would love to help   convert -PRON- vidsï¿½,2,0.65,0.35
45,the girl in the hair salon ask -PRON- Shall -PRON- trim -PRON- eyebrow how old do -PRON- feel,1,0.2,0.1
46,egh blah and boooooooooooo i dunno wanna go to work   hangover SUCKKKKKK -PRON- be a drunk mess,0,0.5875,-0.3375
47,visit -PRON- friendster and facebook,1,0.0,0.0
48,i donbt like to peel prawn i also do not like go shopping run out of money and crawl round the car look for more,0,0.45,0.15
49,which case -PRON- get a new one last week and -PRON- be not thrill at all with mine,0,0.2606060606060606,0.06818181818181818
50,then -PRON- should check out   and connect with other tweeple who hate twitter,1,0.6375,-0.4625
51,also bore at school -PRON- -PRON- third freelesson freistunde,1,0.0,0.0
52,hm both of -PRON- -PRON- guess,1,0.0,0.0
53,-PRON- be INSULTu have dissappointe -PRON- that past few day,0,0.175,-0.225
54,romance zero be funny,2,1.0,0.25
55,-PRON- d rather do the early runbut -PRON- be a morning runner,1,0.3,0.1
56,bah a coworker run into work late and -PRON- bag smack into -PRON- knee   -PRON- really hurt now,0,0.4,-0.04999999999999999
57,will be back later,1,0.0,0.0
58,aw Torn ace of heart   Hunchback,0,0.0,0.0
59,what fun be -PRON- speak of,1,0.2,0.3
60,i lose all -PRON- friend -PRON- be alone and sleepyi wanna go home,0,0.0,0.0
61,haha yes,1,0.3,0.2
62,-PRON- give in to easily,0,0.8333333333333334,0.43333333333333335
63,what well way to spoil mum than to let -PRON- kick back and relax over a nice meal and a bottle of -PRON- favorite wine -PRON- wine be a red,2,0.5,0.275
64,mannnn   get an iphone -PRON- be jealous,0,0.0,0.0
65,be at a photoshoot,1,0.0,0.0
66,-PRON- s awesome have -PRON- work with -PRON- before -PRON- s a good friend,2,0.8,0.85
67,Yay play a show tonight Boo -PRON- go to soggy and -PRON- be at work right before play,1,0.5357142857142857,0.2857142857142857
68,Chilliin,2,0.0,0.0
69,if -PRON- know such agent do let -PRON- know,1,0.5,0.0
70,-PRON- still smell of smoke   kitchenfire,1,0.0,0.0
71,a celticslaker rematch sound well do not -PRON- think lol,2,0.55,0.6000000000000001
72,anyone have an extra Keane ticket -PRON- promise to buy -PRON- a drink and take rad pic for -PRON- FB   Blog   Flickr etc,1,0.1,0.0
73,-PRON- can ride one -PRON- can catch one but -PRON- not summer til -PRON- pop open one,1,0.5,0.0
74,-PRON- be good so gorjuz yea i kno i ask -PRON- yesterday when -PRON- be at tha hospital if -PRON- talk to u and -PRON- say no,1,0.6000000000000001,0.7
75,ok   -PRON- be out of here for now just pop in to say hi and check on thing Ill probably head to the guttah later on tonight,1,0.5,0.0
76,wow i am REALLY missin the FAMiLY TODAY BADDD,0,0.6,0.15000000000000002
77,-PRON- source say no,1,0.0,0.0
78,-PRON- be sooo tired,0,0.7,-0.4
79,hey -PRON- change -PRON- twitt account and -PRON- do not even tell -PRON-,1,0.0,0.0
80,thank YYYYYYYYYOOOOOOOOOOUUUUU,2,0.0,0.0
81,lucky kidi so wanna see loserville   pity -PRON- be in oz,2,0.5166666666666667,0.11666666666666665
82,fall asleep wait for -PRON- ride,1,0.0,0.0
83,sick with a flu like thing,0,0.8571428571428571,-0.7142857142857143
84,still no reply from   about -PRON- SimFinger problem   so no iRape parody video until -PRON- get a response sorry guy,0,1.0,-0.5
85,Happy Star Wars day everyone and enjoy the holiday UK,2,0.75,0.6000000000000001
86,mile from -PRON-    -PRON- be in Essex so give -PRON- plenty of warning so -PRON- can arrive in time to get at least one of those free beer,1,0.6000000000000001,0.05000000000000002
87,-PRON- snoring be so annoying n -PRON- keep -PRON- from sleep like right now lol but -PRON- honestly wud miss -PRON- if -PRON- eva leave   -PRON- love -PRON-,1,0.7271428571428571,0.27714285714285714
88,i miss -PRON- bby       wish -PRON- be go tomorrow to make -PRON- do good,0,0.6000000000000001,0.7
89,well what -PRON- be work on be not quite ready to post about publicly still beta testing but -PRON- a cool new script -PRON- code,2,0.41780303030303034,0.1715909090909091
90,SWEEEEET   San Fran be awesome   love -PRON- there,2,0.8,0.75
91,mounce yes and -PRON- last way past -PRON- bedtime,1,0.15833333333333333,-0.125
92,hi   how be -PRON- do    just join twitter,1,0.0,0.0
93,wait for sleep pill to kick in go to be so tired at work tomorrow,0,0.7,-0.4
94,eat ice cream and then get ready for graduation,1,0.5,0.2
95,Happy Mothers day to all -PRON- mums out there,2,1.0,0.8
96,CASEYS GONE but why so -PRON- piddle a little on the carpet -PRON- s prolly freak cause -PRON- new Can -PRON- get -PRON- back,0,0.3181818181818182,-0.017045454545454548
97,hemp cloth be marvelous but unfortunately no,0,1.0,0.625
98,go to read a story bout adam lambert online then bed nighty night,1,0.0,0.0
99,-PRON- see that in none    the baddie the good,2,0.6000000000000001,0.7
100,and -PRON- be on the beach pretty,2,1.0,0.25
101,certainly not cheer than huh,1,0.5714285714285714,-0.10714285714285714
102,week post myhorrible traumatic jumping cholla accidentcholla next dirty trickpiece be start to emerge from -PRON- hand Ouch,0,0.4,-0.3
103,i realy want to go out cause -PRON- so nice but everybodys busy,0,0.65,0.35
104,awesome   -PRON- be down in Ocean Beach if -PRON- know where that be by the way yourbiggestfan -PRON- be a real big fan of -PRON-,2,0.4796296296296297,0.2814814814814815
105,at least -PRON- get to watch over time   Lets go pen,1,0.4,-0.3
106,cool i wear black most of the time when i go out,1,0.5277777777777778,0.22777777777777777
107,haha -PRON- do not know how to work blip apart from the obvious thank for reblippe -PRON- song   have a nice day INSULT,2,0.6,0.26666666666666666
108,have a safe trip joshy pooyoull knock -PRON- dead at -PRON- speech,2,0.45,0.15
109,woof -PRON- wish -PRON- be allow to go,2,0.0,0.0
110,if u have a friendster add -PRON-         -PRON- email adress       add -PRON-           add -PRON- leave some comment,1,0.0,0.0
111,have ticket,1,0.0,0.0
112,thank -PRON- Afrin Nasal Spray also -PRON- get a giant teacup tonight,2,1.0,0.0
113,ACSM -PRON- unfathomable   i think the other one   and the   be one that should be keep to the comfort of -PRON- bedroom yes,1,0.375,-0.125
114,Aww -PRON- love -PRON- daddy -PRON- work   day a week almost all day and still try to go to SF with all of -PRON-,2,0.75,0.4
115,so many test todayyy   -PRON- do not feel confident about anyy,0,0.6666666666666667,0.5
116,graduation be do   -PRON- be a little sad anyone want to hang out,0,0.75,-0.34375
117,hahaa -PRON- awesomee,2,0.0,0.0
118,holy smokes star trek be freak awesomeeeee,2,0.0,0.0
119,-PRON- hate Fallout   -PRON- keep make -PRON- jump -PRON- be also low on health money ammo and food   do not worry Ill get through -PRON-,1,0.7333333333333334,-0.43333333333333335
120,-PRON- have -PRON- on -PRON- itune but then -PRON- lose all -PRON- song,1,0.0,0.0
121,what s with the gloomy weather the sun must be too tired to come out and play   heading to victoria gardens for some impulse buy haha,1,0.5,-0.1
122,not look forward to next week Maths Geography English and french exam total   hour,0,0.1875,0.0
123,poor -PRON-   get outside and sleep in the garden the sun will do -PRON- good but do not forget suncream,0,0.4166666666666667,0.09999999999999998
124,not well,0,0.0,0.0
125,not a prob hun,2,0.0,0.0
126,at dad watch some mtv and be go on   in a minutee,1,0.0,0.0
127,absolutely,1,0.9,0.2
128,what s the matter chickadee,1,0.0,0.0
129,hey mia   totally adore -PRON- music   when will -PRON- cd be out,2,0.75,0.0
130,shopping cleaning BMFing Webcam chat with nephew Nothing spesh but a good bank holiday Monday nonetheless,2,0.6000000000000001,0.7
131,o -PRON- need to ask -PRON- something Lmao -PRON- love -PRON- too,2,0.8,0.55
132,those splinter look very painfulbut -PRON- be be very heroic saving mr Pickle,0,0.65,0.5549999999999999
133,why be -PRON- sad,0,1.0,-0.5
134,nice to see -PRON- tweet   -PRON- Sunday   May and be celebrate Mothers Day here today so be nice to yer Mom,2,1.0,0.6
135,decide   trans frm relax   natural hair but i wish -PRON- whole head look like -PRON- root   Age of the instant gratification,2,0.48888888888888893,0.10000000000000002
136,Namaskar   Namaste r both the same Marathi people say Namaskar -PRON- a marathi word should i   naaaah,1,0.125,0.0
137,congrat   -PRON- cuss like that in a matter of minute but do not know until now there be a reward for -PRON-,1,0.0,0.0
138,humous and dorito oh yes,1,0.0,0.0
139,miss all the awesome weather because -PRON- be in a movie,0,1.0,1.0
140,today be go to be a normal day for -PRON- hope -PRON- have a group of pilot from a large airline come in last night so -PRON- be too much drink,1,0.3363095238095238,0.14107142857142857
141,these kid be terrible if -PRON- be in Good Evans -PRON- d call Childline,0,0.8,-0.15000000000000002
142,Unfortunatley AerLingus no longer fly to Copenhagen so be have to fly Ryanair to Billund and drive up to Copenhagen one of the day,0,0.9,0.8
143,what s sad be that -PRON- actually have to google that term that suck tho,0,0.55,-0.25
144,hate fighting,0,0.9,-0.8
145,-PRON- watch that too -PRON- do not want -PRON- to win but -PRON- put up a good fightlol,1,0.5,0.75
146,Carwarmed Sprite taste like sore throat,0,0.0,0.0
147,just come   in cross country and beat dumbo,1,0.0,0.0
148,candle wax be very enjoyable,2,0.78,0.65
149,-PRON- s unassuming and unpretentious -PRON- s just as -PRON- suppose that s why -PRON- s so endearingbecause -PRON- can relate to -PRON-,2,0.0,0.0
150,tomorrow valerias lunch go to get -PRON- hair do but -PRON- be arrave late    get -PRON- cousin babtizm or whatever -PRON- spell -PRON-,1,0.6,-0.3
151,goooooddd morning tweet   week three of -PRON- workout do i mention i get -PRON- new glass yesterday,2,0.45454545454545453,0.13636363636363635
152,-PRON- too -PRON- hate -PRON- computer so much,0,0.55,-0.30000000000000004
153,fine go to do -PRON- big walk today   or so mile,2,0.3,0.20833333333333334
154,-PRON- want RED CRUISERS   i do not like the other one LMFAO,0,0.1875,-0.0625
155,Mmmmmmmm   -PRON- in the morning,1,0.0,0.0
156,-PRON- neither,1,0.0,0.0
157,have about   hour work to do on a Sunday Boo -PRON- will find time for a two hour lunchbreak though yeah,1,0.0,0.0
158,Bugger forgot -PRON- still have washing in -PRON- machine,0,0.0,0.0
159,Laurie send love blessing   heal thought to -PRON-   family   peace,2,0.6,0.5
160,-PRON- back hurtsreally bad,0,0.3333333333333333,-0.3499999999999999
161,ah yes -PRON- know that feeling,1,0.0,0.0
162,night of the cooker with -PRON- dad,1,0.0,0.0
163,-PRON- modem have be offline for a week now God bless the   network Tim just leave Again May schedule have be brutal,0,1.0,-0.875
164,nope -PRON- be in Coquitlam,1,0.0,0.0
165,have parent teacher thing yesterday so boring go to skl on saturday   lol,0,0.85,-0.09999999999999998
166,lichfield tweetup sound like fun   hope to see -PRON- and everyone else there,2,0.30000000000000004,0.35
167,big booming thunder storm almost here   maybe -PRON- can all go home early   ah probably not,1,0.2,0.05
168,few bevvie   in twngreat on a day off,2,0.1,-0.2
169,first night in myer just not the same wout lydia   but -PRON- be actually excited about this summer,2,0.40277777777777773,0.20833333333333334
170,good morning,2,0.6000000000000001,0.7
171,-PRON- the good show ever,2,0.6000000000000001,0.7
172,url in previous post to timer job should be   -PRON- d remove space which mess up URL   es,0,0.17083333333333334,-0.17083333333333334
173,i think iv hurt -PRON- tooth   and eilish and cassie be have a draw competiton to draw cookie and pineapple haha L,1,0.3,0.2
174,-PRON- want to know when the audition be Mander Text orreply please,1,0.0,0.0
175,or even nooooo not the SECRET NAMEREBECCA please,0,0.7,-0.4
176,-PRON- miss -PRON- neice   can not wait to see -PRON- bad n grow INSULT Lol,0,0.6833333333333333,0.0500000000000001
177,i need to get -PRON- computer fix,1,0.0,0.0
178,really hope -PRON- car illness be not terminal,0,0.2,0.2
179,all the cool people -PRON- want to find for follow today be English and -PRON- guess the English do not tweet,1,0.21666666666666667,0.11666666666666665
180,no siri woulda put honeybut i do not have any,1,0.0,0.0
181,who watch Xmen origin wolverine i totally love -PRON- haha,2,0.44999999999999996,0.35
182,-PRON- vote do u have a personal myspace i keep talk to fake    i   -PRON- u help -PRON- thru the hrd time of -PRON- life   x,2,0.65,-0.25
183,-PRON- be sad that -PRON- miss -PRON- guy last night,0,0.5333333333333333,-0.25
184,finally get a call for marriage counseling   day late,1,0.8,-0.15
185,ok then,1,0.5,0.5
186,why baby,1,0.0,0.0
187,today be the last day of high school for -PRON- and i end up go home sick   stupid dead rat,0,0.5727619047619047,-0.31085714285714283
188,be have an impromptu pool party except -PRON- do not know how to swim so -PRON- can not get in,1,0.0,0.0
189,lose -PRON- tooth   whilst i be eat gumoww,0,0.0,0.0
190,happy   year,2,1.0,0.8
191,oh -PRON- HELLA forget to say -PRON- official good morning   like to hear -PRON- here -PRON- go Goooooooooooood Morrrrrrrrning Twitterville Lol,2,0.65,0.75
192,phew   Will make a note in case anyone else run into the same issueï¿½,1,0.125,0.0
193,what about ME    -PRON- vote every day for you,0,0.0,0.0
194,-PRON- be starve this diet be kill -PRON- but -PRON- can not eat after,0,0.0,0.0
195,i talk to -PRON-,1,0.0,0.0
196,-PRON- be soo boredim deffo miss -PRON- music channel,0,0.0,0.0
197,nite nite bday girl   have fun at concert,2,0.2,0.3
198,have nicotine replacement patch on for   hour so far so good but -PRON- do sleep for most of those   hour get a bit twitchy now,1,0.7000000000000001,0.4333333333333333
199,Sanderson what s with Twatter lately   either -PRON- can not get on or the reply do not turn up,1,0.6,-0.3
200,should be sleep   lose -PRON- voice a couple day ago,0,0.0,0.0
201,hate when -PRON- PARKED car get hit,0,0.9,-0.8
202,-PRON- have hear this fall -PRON- be wait too,1,0.0,0.0
203,more nightmare   huggle,1,0.5,0.5
204,-PRON- am SUCH a creeper   -PRON- feel disappointed because of -PRON- INSULT -PRON- cyberstalking skill    the internet   no more privacy,0,0.5833333333333334,-0.3333333333333333
205,go to bed -PRON- late and -PRON- have headache,0,0.6,-0.3
206,happy mothers day to all mom out there,2,1.0,0.8
207,grab coffee from   then make mom breakfast,1,0.0,0.0
208,-PRON- be think that -PRON- be go to have fun tonightand maybe some change be come,2,0.2,0.3
209,thank before the major chop,1,0.5,0.0625
210,haha -PRON- know -PRON- can not handle the fame   and thank -PRON-,2,0.3,0.2
211,just get up and update -PRON- ipod,1,0.0,0.0
212,yes sober HAHAHA tanghale tapat dude haha WILD i do not knowwww   plan plan   before -PRON- go to US,2,0.32500000000000007,0.15
213,-PRON- never miss ICarly   -PRON- son have a huge crush on Miranda,2,0.9,0.4000000000000001
214,see James carville in the store today -PRON- head be really that bald,1,0.2,0.2
215,yellow for,1,0.0,0.0
216,which mean -PRON- be just go to have to come back to vancouver and have -PRON- -PRON- way hahah,1,0.34375,-0.15625
217,feel smooth like chrome,2,0.5,0.4
218,ew traffic,0,0.0,0.0
219,download song while try to sneak a lil homework in too which should be -PRON- main priority not song lol,1,0.5166666666666666,0.48333333333333334
220,-PRON- not alonei need coffee too,1,0.0,0.0
221,sound like -PRON-,1,0.4,0.4
222,bad day   the day -PRON- realize what mess -PRON- have put -PRON- through will be one of the happy day of -PRON- life,1,0.6138888888888888,-0.02499999999999991
223,walk to class -PRON- hate not have a bikeespecially mine,0,0.9,-0.8
224,nesmith,1,0.0,0.0
225,fail inspection do -PRON- know -PRON- can pass wooven but not woantitip bracket which be only sell weave this be bad than taxis,0,0.6555555555555554,-0.3999999999999999
226,jonas brother   live to party                 -PRON- rock so hard      -PRON- love the song,2,0.5472222222222222,0.11489898989898989
227,happy mothers day to all the mother in the world,2,1.0,0.8
228,through the    Google Wave demo that look a lot of fun would love to test -PRON- though,2,0.4,0.4
229,Sleepy Tabz be head to bed   Fun night listen through the next episode of Jossd,2,0.1,0.15
230,the exception for a short dude Larenz fineass Tate yum,1,0.3,0.0
231,screw the review -PRON- think Wolverine be awesome but not enough Dominic Monaghan for -PRON- liking,2,0.75,0.5
232,if -PRON- follow -PRON- recently PLEASE do not be offend that -PRON- have not follow back -PRON- hit -PRON- limit    hopefully -PRON- will be free soon,2,0.35000000000000003,0.13333333333333333
233,yes i work   to,1,0.0,0.0
234,hmmm maybe that s what -PRON- mean -PRON- elude to something brand new but -PRON- know how the media be,1,0.5710227272727273,-0.08806818181818182
235,do at the spa    now meet vic for some late lunch,1,0.6,-0.3
236,Happy monday   up and about go to tavare today Hope everyone have a bless day,2,1.0,0.8
237,always have want to go to Oz,1,0.0,0.0
238,thx,1,0.0,0.0
239,cool luv -PRON-,2,0.65,0.35
240,that s why -PRON- need to be thereto represent the blackberry,2,0.0,0.0
241,okay so -PRON- be dedicate -PRON-   tweet to the fact that -PRON- be go to the Apple store because there be a HUGE crack on the glass screen,1,0.7,0.45000000000000007
242,if only -PRON- could ever actually be allow to stay here and do that,1,0.55,0.0
243,let -PRON- know how that turn out,1,0.0,0.0
244,be that sass -PRON- detect   as long as -PRON- be not back sass Haha,1,0.2333333333333333,0.05000000000000001
245,yeah -PRON- be think about that ahaha,2,0.0,0.0
246,Sports Bar Shatranjanpoli Rest Ph   all Sports Bar Andheri W   do not know whether that help Google ki jai ho,1,0.0,0.0
247,-PRON- be not sleep at all until   accept -PRON- appology,0,0.0,0.0
248,Wolverine be BOSS seriously and WillIAm be in -PRON- what the INSULT,0,0.6666666666666666,-0.3333333333333333
249,-PRON- live for pain bring -PRON- on,1,0.5,0.13636363636363635
250,okay -PRON- be out for a while   back later,1,0.16666666666666666,0.16666666666666666
251,powerblog what be this powerblog challenge -PRON- keep talk about   -PRON- be a newbie follower,1,0.0,0.0
252,almost die Laptop screen be set to   brightness after -PRON- reinstall Windows Vista get a headache now   insanedefault,2,0.0,0.0
253,wait for tish to get off Got to drive -PRON- mom CRV to pick -PRON- up all -PRON- -PRON- and duckie first time,1,0.3333333333333333,0.25
254,try to decide on a movie with the friend not go to well lol p   no bible study   which mean insultday cake   buy -PRON- own,0,0.7958333333333334,0.3625
255,go to shower because i do not want to smell at school tomorrow,1,0.0,0.0
256,sigh -PRON- know -PRON- be,1,0.0,0.0
257,discover cause of a bug in the new NetPLAYER   build Publishing bug fix now hopefully new beta by tomorrow,2,0.45454545454545453,0.13636363636363635
258,here be   free twitter tool will get -PRON- follower,1,0.8,0.4
259,just get home from work and be chug down a big bottle of apple juice,1,0.19444444444444448,-0.07777777777777779
260,yes -PRON- do please do not go if -PRON- die -PRON- will cry which normally lead to small animal get harm,0,0.5249999999999999,-0.05
261,writing report card   soooo tired but what an amazing day check -PRON- out on fb soon,2,0.8,0.10000000000000003
262,-PRON- be only once for -PRON- big brotherand -PRON- be do now,1,0.55,0.0
263,good news finally finish -PRON- easactive workout that have be pause for   hour bad news -PRON- resistance band be tear,1,0.7555555555555555,3.700743415417188e-17
264,well good morning all what a wonderful day in the neighborhood   thank for all those that be now follow another   this morning,2,0.8,0.85
265,FTSK and Mercy Mercedes be amazing tonight as always,2,0.9,0.6000000000000001
266,hope -PRON- be ok,2,0.5,0.5
267,can not school just be do already -PRON- hurt too much see -PRON- every day,2,0.2,0.2
268,-PRON- wait listen to wind blow through the tumbleweed be none of -PRON- old enough to know what to do when someone say Crackerack,1,0.35,0.05
269,Hell yeah,1,0.0,0.0
270,him shirt at dinner do -PRON- need to ask   do -PRON- actually have Ville on -PRON-,1,0.1,0.0
271,i know,1,0.0,0.0
272,huh what the INSULT smelly Noooo -PRON- love alex Vixon,1,0.6,0.5
273,go to a party last night Dindin and -PRON- show up in matching outfit   great mind think alike   anyway happy birthday eat lara,2,0.6055555555555555,0.5333333333333333
274,happy bday just wake up on this side of Earth so wish be bit late,2,0.8,0.25
275,thank -PRON- for teach -PRON- value and to be a well person each day   -PRON- love so much youre the best MUM in the world,2,0.3666666666666667,0.5666666666666667
276,happy mothers day,2,1.0,0.8
277,laugh -PRON- be glad that -PRON- have self confidence   -PRON- a wonderful trait to have   Ill applaud extra loud for -PRON- okay,2,0.6428571428571429,0.27142857142857146
278,thanks,2,0.2,0.2
279,twitter after   day,1,0.0,0.0
280,get ready for week   -PRON- too nice today to be stick inside work,2,0.75,0.4
281,-PRON- be tre depressed,0,0.0,0.0
282,feel like INSULT behave like -PRON- son eat to compensate pig out on homeroasted sugar almond painful tum throw up still feel sick,0,0.8785714285714286,-0.7071428571428571
283,Happy Mothers Day people i love -PRON- mom a lot still,2,0.8,0.65
284,-PRON- be sorry to hear that,0,1.0,-0.5
285,that s awesome dude yay for surprise celebrity   -PRON- get to meet -PRON- a few year ago -PRON- be soooo friendly,2,0.5333333333333333,0.39166666666666666
286,-PRON- make -PRON- happy to hear a girl talk or tweet about the nba but could -PRON- give -PRON- nugget some love,2,0.8,0.65
287,be get the hang of Twitter,1,0.0,0.0
288,-PRON- know -PRON- neck be jack up when -PRON- be force to pay for parking bc -PRON- can not turn -PRON- head to parallel park in the free space,0,0.4,0.2
289,-PRON- want -PRON- back now,1,0.0,0.0
290,go to miss -PRON- roomie   -PRON- will no longer be roomie start tomorrow,0,0.0,0.0
291,bathe with two little angel Keyla and Janice,1,0.5,-0.1875
292,Yep finish chock full of spelling and grammatical error but -PRON- be clean -PRON- up tomorrow and pop -PRON- up   hehe,0,0.625,0.35833333333333334
293,HAHAHHA lol true that i always remember -PRON- BD but i can never remember what date or even day -PRON- be,1,0.675,0.575
294,family be herehange with -PRON-,1,0.0,0.0
295,watch Ellen Love -PRON- then do the dish   and tan -PRON- gorgeous out,2,0.75,0.6
296,what s go on hun   -PRON- be worried about -PRON-,0,0.0,0.0
297,-PRON- be not bannishe but -PRON- be at work till,0,0.0,0.0
298,morning if -PRON- get to see -PRON- Ill let -PRON- know right now -PRON- be go to go see Wolverine,1,0.7678571428571428,-0.10714285714285715
299,red top tabloid build -PRON- up knock -PRON- down,1,0.262962962962963,0.11481481481481481
300,tonight in party w -PRON- girl minus vita,2,0.1,-0.1
301,why not now -PRON- make -PRON- sad -PRON- think -PRON- d be jump for joy,1,0.6,0.15000000000000002
302,simple -PRON- a,1,0.35714285714285715,0.0
303,the pic -PRON- just uploaded be the baby pic of -PRON- cat Missy be now an adult and a pretty little kitty but Batty be in kitten heaven now,1,0.6,0.05416666666666666
304,-PRON- see the play of -PRON- here -PRON- be amazing,2,0.9,0.6000000000000001
305,i be glad to break -PRON- twitter virginity with -PRON- two,2,1.0,0.5
306,dinner with the fam -PRON- have miss -PRON-,0,0.0,0.0
307,live that s what -PRON- want More the well bind to be a few bad egg though but -PRON- will soon learn,1,0.44166666666666665,-0.06590909090909088
308,Hell yeah Kellynn get a Twitter finally,1,1.0,0.0
309,-PRON- know    -PRON- be worth a shot though,2,0.1,0.3
310,just open a facebook account -PRON- be a little confused -PRON- do not really get -PRON- Twitter seem much well,2,0.42000000000000004,-0.0975
311,ship -PRON- be stick,0,0.0,0.0
312,DUSTBIN BABY on AT   can not wait   x,2,0.0,0.0
313,not go to dwell on -PRON- -PRON- happen -PRON- pass just a shame as -PRON- be so supportive such be life   x,0,0.75,0.25
315,-PRON- look like the office tv do get MLB Network and -PRON- look like MLBN will not be televise the DETBAL game today   wieter,1,0.4,-0.4
316,home empty hand   no comic_strip find today   -PRON- shall now indulge in -PRON- cupcake from Magnolia Bakery,1,0.5,-0.1
317,lay in bed til workkk oh the life definitely pinch a nerve,0,0.5,0.0
318,today be a busy day exhaust,0,0.3,0.1
319,-PRON- be go to go on Sunday but now -PRON- have get too much go on that weekend,1,0.2,0.2
320,sorry to hear ur flight get cancel   that blow,0,1.0,-0.5
321,ohh -PRON- tooth be hurts ohh   -PRON- be sad -PRON- very hurt,0,0.65,-0.15
322,before -PRON- get too distracted -PRON- d like to thank -PRON- new follower for take the trouble to follow -PRON- and to -PRON- other feelin the love,2,0.4073863636363636,0.07784090909090909
323,u think u have bill HaIi just finish pay mine that s y -PRON- be break,0,0.0,0.0
324,not sure -PRON- do not say -PRON- be   big -PRON- jst see the pic of u on ur last bday -PRON- look so pretty -PRON- miss -PRON-,1,0.5138888888888888,0.0
325,sore throat plan the TET outing to Marwell thoughgood time,1,0.0,0.0
326,mcfly gig last nightt omg -PRON- be amazin do not sit down through the whole thing   mcfly do -PRON- see -PRON- and ma good mate -PRON- be in tutus,2,0.3388888888888889,0.1861111111111111
327,day without sleep and now a migraine -PRON- think life   be mean to be relax,0,0.6875,-0.3125
328,there,1,0.0,0.0
329,suck,0,0.0,0.0
330,when s the sway sway winner announce,1,0.0,0.0
331,K will check -PRON- out,1,0.0,0.0
